PassengerId,Survived_pred,Survived_prob
892,0,0.1096392729397568
893,0,0.42899635386004
894,0,0.12379862552577978
895,0,0.09141084924805878
896,1,0.584699791347038
897,0,0.12236933066859615
898,1,0.6297704536935651
899,0,0.19127871600498433
900,1,0.7283008532762622
901,0,0.10486854784854731
902,0,0.08934079256239888
903,0,0.24665846719036272
904,1,0.9274792589094283
905,0,0.08543389149058396
906,1,0.8379734715022052
907,1,0.8409280018356216
908,0,0.21772369132286296
909,0,0.16769975308313909
910,1,0.5538234422485425
911,1,0.576481836913165
912,0,0.3111549509730253
913,0,0.13642082224172913
914,1,0.8639649901142773
915,1,0.514708709345166
916,1,0.9257974674625038
917,0,0.05349572385414629
918,1,0.9575307907880524
919,0,0.16251045529682825
920,0,0.3961549274983876
921,0,0.14477921359195722
922,0,0.11461733754614294
923,0,0.1992074904634448
924,1,0.516719665610246
925,1,0.5480286253197237
926,1,0.5221006615477262
927,0,0.1766413784364889
928,1,0.5476167023148516
929,1,0.5906865787285722
930,0,0.0956742403607621
931,0,0.0897686750096837
932,0,0.11373648306461591
933,0,0.4761050154224035
934,0,0.06611229175765884
935,1,0.7248989047058176
936,1,0.8800826542683995
937,0,0.09565952682042048
938,1,0.5055192967172147
939,0,0.1266071361404063
940,1,0.896911088191168
941,0,0.49777552045286666
942,1,0.5020887011816303
943,0,0.28409122971411505
944,1,0.7722329059994479
945,1,0.883005433953475
946,0,0.2790261620072998
947,0,0.18584952537701985
948,0,0.07604043825458087
949,0,0.14467731887754312
950,0,0.08941289442524655
951,1,0.9419054209256165
952,0,0.11449546286183833
953,0,0.16882327535168543
954,0,0.11197372832056235
955,1,0.675251444756583
956,1,0.7088034703341473
957,1,0.7349638825022323
958,1,0.6968719330323239
959,0,0.24234935809225747
960,1,0.5922651889643668
961,1,0.7717181391288679
962,1,0.6641489695358334
963,0,0.10470390493582504
964,1,0.5413884151584936
965,1,0.6073046935902772
966,1,0.9429689722136991
967,1,0.5879374848427321
968,0,0.0893421472513619
969,1,0.8661538524157331
970,0,0.17597685768221272
971,1,0.6641489695358334
972,0,0.22711599636208227
973,0,0.2585670193427195
974,0,0.23293523110779737
975,0,0.08934079256239888
976,0,0.2490910288539292
977,0,0.14468264219429833
978,1,0.6471547688506715
979,1,0.608743827007985
